symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	reactome	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PYGL	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	0	1	1	1	0.7284550000000003	0	0.145945945945946	-0.922543737929711	0	No data	No data	-0.5277450000000001	0.5	-1
H2BC20P	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
NTF3	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	1	0	0	0	0.796295	No data	-0.6669608383894099	-0.9827508746912678	0	No data	No data	0	0.5	0
EIF4B	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	0	0	0	0	No data	No data	-0.9693325979040265	-0.8043699843809576	-1	No data	No data	0	-1	-1
NCR1	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	0	0	0	0	0	No data	0.4359624931053503	-0.7538184101117648	0	No data	No data	0	1	1
PARD6G	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	0	0	0	0	0	No data	0.7109762824048538	No data	0	No data	No data	0	0.5	0
NOP16	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0.5505600000000002	No data	-0.19547710976282406	No data	-1	No data	No data	No data	-1	-1
AUTS2	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	1	0	0	0	0	0.6664000000000001	No data	-0.9360176503033646	-0.7690601188826984	0	No data	No data	0	-1	-1
MAP3K12	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	0.75	1	0	1	1	0	0.798205	1	-0.926199669056812	-0.8416847849363737	0	-1	No data	0	0.5	-1
LINC01843	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
BLOC1S2	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0.6478850000000002	No data	0.21025923883066744	-0.8948180083640053	0	No data	No data	0	-1	-1
TAF7	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0.6418349999999997	No data	-0.5837837837837838	No data	-1	No data	No data	0	-1	-1
PEA15	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	No data	0	0	0	0	0	0.9615400000000001	No data	-0.9302813017098731	0	0	No data	No data	No data	1	-1
COL4A1	0.00406537840153172	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	No data	1	0	1	0	0	0	0.5386450000000004	No data	-0.9319360176503033	-0.9703535852391293	0	No data	No data	-0.03385250000000006	0.5	0
RNF13	0.004060722170995307	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	0.03035824415222919	No data	No data	0	0	0	0	0	0.6719149999999999	No data	-0.26508549365692224	-0.2286204773100825	0	No data	No data	0	-1	-1
MIR503HG	0.004056978764263249	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03336711004115855	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
INSC	0.004048581418814366	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	0.01160602072977141	No data	No data	0	0	0	0	0	0.718045	No data	0.5916161059018201	No data	0	No data	No data	No data	1	0.5
